本页不填（已设公式从后页取数，请填后页）,,,,,,,,,,,,,,,,
,,,,L列包含M列,,N列包含O列,,,,,,,,,,
分类,项目,HCO,规划场次,"已开展场次
（项目开始-统计日）","已开展场次
（8月当月）","已确定未开场次
（7.1以后所有）","已确定未开场次
（开展时间在8月当月的）","项目开始-统计日
确定后取消场次",已完成核销场次,"项目开始-统计日
确定场次（包含已开）",规划总进度,执行总进度,,,,
早肺,美乐肺辅-区域赛,北京健康促进转北京弘医基金会,140,88,42,21,11,26,0,109,78%,63%,,,,
,美乐肺腑-省级赛,,31,22,15,12,9,1,0,34,110%,71%,,,,
,胸外老友线上会,,92,26,18,46,31,0,0,72,78%,28%,,,,
,肺凡新生-患教项目,国癌中心,143,141,41,2,2,15,58,143,100%,99%,,,,
,云端ARTS2.0（停止）,馨心,140,44,43,12,0,2,2,56,40%,31%,,,,
晚肺,靶化上市会（地区级线下）,馨心转医药教育协会,226,198,0,18,0,22,2,216,96%,88%,,,,
,靶化上市会-线上会,馨心转医药教育协会,1452,1388,366,4,71,111,41,1392,96%,96%,,,,
,肺凡新生-线下患教项目,国癌中心,50,31,7,1,3,13,11,32,64%,62%,,,,
,肺凡新生-大咖直播,国癌中心,200,188,37,5,5,33,95,193,97%,94%,,,,
,53学苑-大咖线上会,北京大众健康科普促进会,600,600,132,0,0,48,0,600,100%,100%,,,,
,53学苑-MDT,北京大众健康科普促进会,10,7,1,4,3,4,0,11,110%,70%,,,,
,53学苑-大咖行,北京大众健康科普促进会,14,13,4,1,1,2,0,14,100%,93%,,,,
,CACA基层行,,40,0,0,0,0,0,0,0,0%,0%,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
