填表说明：只填写橙色列（C-G列），没有的请填0，不要留空,,,,,,,,,,,,,,,,
,,C列包含D列,,E列包含F列,,,,,,,,,,,,
胸外老友线上会,分配场次,"已开展场次
（项目开始-统计日）","已开展场次
（9月当月）","已确定未开场次
（7.1以后所有）","已确定未开场次
（开展时间在9月当月的）","项目开始-统计日
确定后取消场次",已完成核销场次,已核销金额,"项目开始-统计日
确定场次（包含已开）",规划总进度,执行总进度,核销进度,NOL覆盖人数,YOL覆盖人数,ROL覆盖人数,备注
东部区域,14,7,6,7,6,0,0,,14,100%,50%,0%,2,4,52,
西部区域,6,3,1,3,2,0,0,,6,100%,50%,0%,0,0,25,
南部区域,9,0,0,1,0,0,0,,1,11%,0%,#DIV/0!,,,,
湘桂区域,5,1,1,2,1,0,0,,3,60%,20%,0%,,,15,
东南区域,20,4,1,16,11,0,,,20,100%,20%,0%,,,13,
北部区域,16,6,6,10,8,0,0,,16,100%,38%,0%,4,6,27,
西北区域,6,3,1,3,3,0,0,,6,100%,50%,0%,,,,
华北区域,16,2,2,4,0,0,,,6,38%,13%,0%,1,2,3,
合计,92,26,18,46,31,0,0,0,72,78%,28%,0%,7,12,135,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
