填表说明：只填写橙色列（C-G列），没有的请填0，不要留空,,,,,,,,,,,,,,,,
,,C列包含D列,,E列包含F列,,,,,,,,,,,,
53学苑-大咖线上会,分配场次,"已开展场次
（项目开始-统计日）","已开展场次
（8月当月）","已确定未开场次
（7.1以后所有）","已确定未开场次
（开展时间在8月当月的）","项目开始-统计日
确定后取消场次",已完成核销场次,"项目开始-统计日
确定场次（包含已开）",规划总进度,执行总进度,核销进度,NOL覆盖人数,YOL覆盖人数,ROL覆盖人数,备注,
东部区域,112,112,2,0,0,25,0,112,100%,100%,0%,2,9,435,,
西部区域,62,62,4,0,0,11,0,62,100%,100%,0%,3,7,271,,
南部区域,73,73,0,0,0,12,0,73,100%,100%,0%,0,25,230,,
湘桂区域,23,23,23,0,0,0,0,23,100%,100%,0%,0,9,120,,
东南区域,93,93,4,0,,0,,93,100%,100%,0%,3,15,95,,
北部区域,90,90,65,0,0,0,0,90,100%,100%,0%,16,35,271,,
西北区域,40,40,22,0,0,0,0,40,100%,100%,0%,0,0,8,,
华北区域,107,107,12,0,0,0,,107,100%,100%,0%,10,22,444,,
合计,600,600,132,0,0,48,0,600,100%,100%,0%,34,122,1874,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,C列包含D列,,E列包含F列,,,,,,,,,,,,
53学苑-MDT,分配场次,"已开展场次
（项目开始-统计日）","已开展场次
（8月当月）","已确定未开场次
（7.1以后所有）","已确定未开场次
（开展时间在8月当月的）","项目开始-统计日
确定后取消场次",已完成核销场次,"项目开始-统计日
确定场次（包含已开）",规划总进度,执行总进度,核销进度,NOL覆盖人数,YOL覆盖人数,ROL覆盖人数,备注,
东部区域,1,0,0,1,0,1,0,1,100%,0%,#DIV/0!,0,0,0,919 卢凯华,
西部区域,1,0,0,1,0,1,0,1,100%,0%,#DIV/0!,,,,10.24 王永生,
南部区域,1,1,0,1,0,2,0,2,200%,100%,0%,0,3,5,,
湘桂区域,1,0,0,0,2,0,0,0,0%,0%,#DIV/0!,,,,,
东南区域,1,1,0,0,0,0,,1,100%,100%,0%,0,0,3,,
北部区域,1,1,1,0,0,0,,1,100%,100%,0%,0,1,5,,
西北区域,2,2,0,0,0,0,0,2,100%,100%,0%,0,1,2,,
华北区域,2,2,0,1,1,0,,3,150%,100%,0%,1,1,14,,
合计,10,7,1,4,3,4,0,11,110%,70%,0%,1,6,29,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,C列包含D列,,E列包含F列,,,,,,,,,,,,
53学苑-大咖行,分配场次,"已开展场次
（项目开始-统计日）","已开展场次
（8月当月）","已确定未开场次
（7.1以后所有）","已确定未开场次
（开展时间在8月当月的）","项目开始-统计日
确定后取消场次",已完成核销场次,"项目开始-统计日
确定场次（包含已开）",规划总进度,执行总进度,核销进度,NOL覆盖人数,YOL覆盖人数,ROL覆盖人数,备注,
东部区域,2,1,0,0,0,1,0,1,50%,50%,0%,1,1,8,7月4日 王佳蕾，9.19 欧阳伟炜,
西部区域,2,2,0,1,1,0,0,3,150%,100%,0%,0,2,14,8.8 夏良平，8.22 欧阳伟炜,
南部区域,2,2,0,0,0,0,0,2,100%,100%,0%,0,3,8,,
湘桂区域,,,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
东南区域,2,2,2,0,0,1,,2,100%,100%,0%,1,0,4,,
北部区域,2,2,0,0,0,0,,2,100%,100%,0%,0,2,10,,
西北区域,1,1,1,0,0,0,0,1,100%,100%,0%,0,0,0,时间暂定7月,
华北区域,3,3,1,0,0,0,,3,100%,100%,0%,1,2,22,,
合计,14,13,4,1,1,2,0,14,100%,93%,0%,3,10,66,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
