填表说明：只填写橙色列（C-G列），没有的请填0，不要留空,,,,,,,,,,,,,,,,
,,C列包含D列,,E列包含F列,,,,,,,,,,,,
靶化线下会,分配场次,"已开展场次
（项目开始-统计日）","已开展场次
（8月当月）","已确定未开场次
（7.1以后所有）","已确定未开场次
（开展时间在8月当月的）","项目开始-统计日
确定后取消场次",已完成核销场次,"项目开始-统计日
确定场次（包含已开）",规划总进度,执行总进度,核销进度,NOL覆盖人数,YOL覆盖人数,ROL覆盖人数,备注,
东部区域,27,27,0,0,0,3,1,27,100%,100%,4%,4,11,124,,
西部区域,14,14,0,0,0,1,1,14,100%,100%,7%,1,2,74,,
南部区域,29,21,0,10,0,3,0,31,107%,72%,0%,3,16,68,剩下10场Q3执行，等待成本申请,
湘桂区域,18,12,0,4,0,0,0,16,89%,67%,0%,0,10,45,剩下4场Q3执行，等待成本申请,
东南区域,44,34,0,4,0,5,0,38,86%,77%,0%,2,7,75,6月15日以后，馨心通知项目终止，无法开展，预计释放10场金额，Q3换HCO执行,
北部区域,30,30,0,0,0,6,0,30,100%,100%,0%,8,18,90,,
西北区域,16,16,0,0,0,0,0,16,100%,100%,0%,1,2,24,,
华北区域,48,44,,0,,4,,44,92%,92%,0%,7,14,152,6月15日以后，馨心通知项目终止，无法开展，预计释放4场金额，Q3换HCO执行,
合计,226,198,0,18,0,22,2,216,96%,88%,1%,26,80,652,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
