填表说明：只填写橙色列（C-G列），没有的请填0，不要留空,,,,,,,,,,,,,,,,
,,C列包含D列,,E列包含F列,,,,,,,,,,,,
美乐肺辅区域赛,分配场次,"已开展场次
（项目开始-统计日）","已开展场次
（9月当月）","已确定未开场次
（7.1以后所有）","已确定未开场次
（开展时间在9月当月的）","项目开始-统计日
确定后取消场次",已完成核销场次,"项目开始-统计日
确定场次（包含已开）",规划总进度,执行总进度,核销进度,NOL覆盖人数,YOL覆盖人数,ROL覆盖人数,备注,
东部区域,18,4,2,4,3,6,0,8,44%,22%,0%,0,1,22,,
西部区域,8,0,0,1,1,4,0,1,13%,0%,#DIV/0!,0,0,0,,
南部区域,19,14,14,2,0,2,0,16,84%,74%,0%,0,0,28,,
湘桂区域,15,13,13,2,0,1,0,15,100%,87%,0%,,,,,
东南区域,32,19,3,3,3,11,0,22,69%,59%,0%,0,2,30,,
北部区域,24,21,7,3,0,1,,24,100%,88%,0%,3,13,64,,
西北区域,8,8,1,0,0,0,0,8,100%,100%,0%,0,1,2,,
华北区域,16,9,2,6,4,1,,15,94%,56%,0%,2,3,16,,
合计,140,88,42,21,11,26,0,109,78%,63%,0%,5,20,162,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
美乐肺辅省级赛,分配场次,"已开展场次
（项目开始-统计日）","已开展场次
（9月当月）","已确定未开场次
（7.1以后所有）","已确定未开场次
（开展时间在9月当月的）","项目开始-统计日
确定后取消场次",已完成核销场次,"项目开始-统计日
确定场次（包含已开）",规划总进度,执行总进度,核销进度,NOL覆盖人数,YOL覆盖人数,ROL覆盖人数,备注,
东部区域,5,2,2,5,4,0,0,7,140%,40%,0%,,2,12,,
西部区域,3,2,2,1,1,1,0,3,100%,67%,0%,1,1,12,,
南部区域,3,2,2,1,1,0,0,3,100%,67%,0%,0,4,6,,
湘桂区域,2,1,1,1,1,0,0,2,100%,50%,0%,,,,,
东南区域,6,5,3,1,0,0,0,6,100%,83%,0%,,,14,,
北部区域,5,5,3,0,0,0,,5,100%,100%,0%,3,6,32,,
西北区域,2,2,1,0,0,0,0,2,100%,100%,0%,,,,,
华北区域,5,3,1,3,2,0,,6,120%,60%,0%,4,3,14,,
合计,31,22,15,12,9,1,0,34,110%,71%,0%,8,16,90,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
