填表说明：只填写橙色列（C-G列），没有的请填0，不要留空,,,,,,,,,,,,,,,,
,,C列包含D列,,E列包含F列,,,,,,,,,,,,
肺凡新生-大咖直播-线上-晚肺,分配场次,"已开展场次
（项目开始-统计日）","已开展场次
（8月当月）","已确定未开场次
（7.1以后所有）","已确定未开场次
（开展时间在8月当月的）","项目开始-统计日
确定后取消场次",已完成核销场次,"项目开始-统计日
确定场次（包含已开）",规划总进度,执行总进度,核销进度,NOL覆盖人数,YOL覆盖人数,ROL覆盖人数,备注,
东部区域,44,39,6,0,0,13,39,39,89%,89%,100%,0,1,32,释放5场,
西部区域,14,12,0,0,0,8,12,12,86%,86%,100%,,,10,释放2场,
南部区域,21,21,5,0,0,2,,21,100%,100%,0%,0,0,21,,
湘桂区域,11,11,2,0,0,0,,11,100%,100%,0%,0,0,11,,
东南区域,32,32,2,0,0,2,,32,100%,100%,0%,,1,14,,
北部区域,30,30,16,0,0,0,30,30,100%,100%,100%,4,8,11,,
西北区域,14,14,4,0,0,0,14,14,100%,100%,100%,0,0,8,,
华北区域,34,29,2,5,5,8,,34,100%,85%,0%,1,1,20,,
合计,200,188,37,5,5,33,95,193,97%,94%,51%,5,11,127,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
